Code_postal_arrondissement;Nom_arrondissement;Nom_officiel_arrondissement
75003;3ème Ardt;Temple
75007;7ème Ardt;Palais-Bourbon
75012;12ème Ardt;Reuilly
75005;5ème Ardt;Panthéon
75008;8ème Ardt;Élysée
75004;4ème Ardt;Hôtel-de-Ville
75014;14ème Ardt;Observatoire
75011;11ème Ardt;Popincourt
75009;9ème Ardt;Opéra
75018;18ème Ardt;Buttes-Montmartre
75015;15ème Ardt;Vaugirard
75016;16ème Ardt;Passy
75017;17ème Ardt;Batignolles-Monceau
75020;20ème Ardt;Ménilmontant
75013;13ème Ardt;Gobelins
75001;1er Ardt;Louvre
75002;2ème Ardt;Bourse
75019;19ème Ardt;Buttes-Chaumont
75006;6ème Ardt;Luxembourg
75010;10ème Ardt;Entrepôt
